sample_len,nb_neurons,input_type,train_len,test_len,train_mae,test_mae
8,9,sine,242,22,0.0530824818401374,0.047504002093827366
8,12,sine,242,22,0.03021311823709967,0.029861928811447325
8,16,sine,242,22,0.013542242495790724,0.022240241555051016
8,25,sine,242,22,0.006655042928039566,0.021920860132422844
8,70,sine,242,22,0.01082010282443859,0.034385841156402475
8,9,sine,242,22,0.0530824818401374,0.047504002093827366
8,12,sine,242,22,0.03021311823709967,0.029861928811447325
8,16,sine,242,22,0.013542242495790724,0.022240241555051016
8,25,sine,242,22,0.006655042928039566,0.021920860132422844
8,70,sine,242,22,0.01082010282443859,0.034385841156402475
