atoms,sample_len,interaction_time,atom_distance,geometry,encoding,waveform,nbr_atoms,edge_size,QFIMrank
1,1,16,4,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,16,4,grid_lattice,both,Constant,NaN,Nan,1
1,1,16,5,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,16,5,grid_lattice,both,Constant,NaN,Nan,1
1,1,16,7,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,16,7,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,16,7,grid_lattice,both,Constant,NaN,Nan,1
1,1,16,10,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,16,10,grid_lattice,both,Constant,NaN,Nan,1
1,1,20,4,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,20,4,grid_lattice,both,Constant,NaN,Nan,1
1,1,20,5,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,20,5,grid_lattice,both,Constant,NaN,Nan,1
1,1,20,7,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,20,7,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,20,7,grid_lattice,both,Constant,NaN,Nan,1
1,1,20,10,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,20,10,grid_lattice,both,Constant,NaN,Nan,1
1,1,30,4,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,30,4,grid_lattice,both,Constant,NaN,Nan,1
1,1,30,5,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,30,5,grid_lattice,both,Constant,NaN,Nan,1
1,1,30,7,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,30,7,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,30,7,grid_lattice,both,Constant,NaN,Nan,1
1,1,30,10,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,30,10,grid_lattice,both,Constant,NaN,Nan,1
1,1,100,4,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,100,4,grid_lattice,both,Constant,NaN,Nan,1
1,1,100,5,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,100,5,grid_lattice,both,Constant,NaN,Nan,1
1,1,100,7,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,100,7,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,100,7,grid_lattice,both,Constant,NaN,Nan,1
1,1,100,10,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,100,10,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,100,10,grid_lattice,both,Constant,NaN,Nan,1
1,1,1000,4,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,1000,4,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,1000,4,grid_lattice,both,Constant,NaN,Nan,1
1,1,1000,5,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,1000,5,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,1000,5,grid_lattice,both,Constant,NaN,Nan,1
1,1,1000,7,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,1000,7,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,1000,7,grid_lattice,both,Constant,NaN,Nan,1
1,1,1000,10,grid_lattice,amplitude,Constant,NaN,Nan,1
1,1,1000,10,grid_lattice,detuning,Constant,NaN,Nan,0
1,1,1000,10,grid_lattice,both,Constant,NaN,Nan,1
1,2,16,4,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,16,4,grid_lattice,both,Constant,NaN,Nan,2
1,2,16,5,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,16,5,grid_lattice,both,Constant,NaN,Nan,2
1,2,16,7,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,16,7,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,16,7,grid_lattice,both,Constant,NaN,Nan,2
1,2,16,10,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,16,10,grid_lattice,both,Constant,NaN,Nan,2
1,2,20,4,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,20,4,grid_lattice,both,Constant,NaN,Nan,2
1,2,20,5,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,20,5,grid_lattice,both,Constant,NaN,Nan,2
1,2,20,7,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,20,7,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,20,7,grid_lattice,both,Constant,NaN,Nan,2
1,2,20,10,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,20,10,grid_lattice,both,Constant,NaN,Nan,2
1,2,30,4,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,30,4,grid_lattice,both,Constant,NaN,Nan,2
1,2,30,5,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,30,5,grid_lattice,both,Constant,NaN,Nan,2
1,2,30,7,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,30,7,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,30,7,grid_lattice,both,Constant,NaN,Nan,2
1,2,30,10,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,30,10,grid_lattice,both,Constant,NaN,Nan,2
1,2,100,4,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,100,4,grid_lattice,both,Constant,NaN,Nan,2
1,2,100,5,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,100,5,grid_lattice,both,Constant,NaN,Nan,2
1,2,100,7,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,100,7,grid_lattice,detuning,Constant,NaN,Nan,0
1,2,100,7,grid_lattice,both,Constant,NaN,Nan,2
1,2,100,10,grid_lattice,amplitude,Constant,NaN,Nan,2
1,2,100,10,grid_lattice,detuning,Constant,NaN,Nan,0
