input_data,train_len,test_len,inp_duration,N_samples,sample_len,reset_rate,nb_atoms,geometry,atom_distance,train_mae,test_mae
sine,250,50,16,1024,2,0,9,grid_lattice_centred,4,0.053210528320197605,0.0564604327095739
sine,250,50,16,1024,2,0,9,grid_lattice_centred,8,0.053210528320197605,0.0564604327095739
sine,250,50,16,1024,2,0,9,grid_lattice_centred,15,0.053210528320197605,0.0564604327095739
sine,250,50,16,1024,2,0,9,grid_lattice_centred,35,0.053210528320197605,0.0564604327095739
sine,250,50,16,1024,3,0,9,grid_lattice_centred,4,0.03826963426485773,0.04024939179394561
sine,250,50,16,1024,3,0,9,grid_lattice_centred,8,0.03826963426485773,0.04024939179394561
sine,250,50,16,1024,3,0,9,grid_lattice_centred,15,0.03826963426485773,0.04024939179394561
sine,250,50,16,1024,3,0,9,grid_lattice_centred,35,0.03826963426485773,0.04024939179394561
sine,250,50,16,1024,6,0,9,grid_lattice_centred,4,0.055776595506069275,0.054537637486380436
sine,250,50,16,1024,6,0,9,grid_lattice_centred,8,0.0557670308512008,0.05440800918041848
sine,250,50,16,1024,6,0,9,grid_lattice_centred,15,0.0557670308512008,0.05440800918041848
sine,250,50,16,1024,6,0,9,grid_lattice_centred,35,0.0557670308512008,0.05440800918041848
sine,250,50,16,1024,8,0,9,grid_lattice_centred,4,0.07196586589291072,0.06773592041946427
sine,250,50,16,1024,8,0,9,grid_lattice_centred,8,0.07269763593640123,0.0685961222863751
sine,250,50,16,1024,8,0,9,grid_lattice_centred,15,0.07270258258055655,0.0690945864721558
sine,250,50,16,1024,8,0,9,grid_lattice_centred,35,0.07270258258055655,0.0690945864721558
sine,250,50,16,1024,9,0,9,grid_lattice_centred,4,0.07650032818910134,0.07305866522079116
sine,250,50,16,1024,9,0,9,grid_lattice_centred,8,0.07806284146510648,0.07402649561686996
sine,250,50,16,1024,9,0,9,grid_lattice_centred,15,0.07780770058575573,0.07422713836899275
sine,250,50,16,1024,9,0,9,grid_lattice_centred,35,0.07780770058575573,0.07422713836899275
sine,250,50,16,1024,10,0,9,grid_lattice_centred,4,0.0839887690016735,0.07569949894078179
sine,250,50,16,1024,10,0,9,grid_lattice_centred,8,0.08333673104784216,0.07594644994979567
sine,250,50,16,1024,10,0,9,grid_lattice_centred,15,0.08321259111420344,0.07580127796915012
sine,250,50,16,1024,10,0,9,grid_lattice_centred,35,0.08321259111420344,0.07580127796915012
sine,250,50,100,1024,2,0,9,grid_lattice_centred,4,0.024031895971880622,0.02548283363742909
sine,250,50,100,1024,2,0,9,grid_lattice_centred,8,0.02581959369499506,0.025581046520518808
sine,250,50,100,1024,2,0,9,grid_lattice_centred,15,0.026236773731683975,0.026561740005274077
sine,250,50,100,1024,2,0,9,grid_lattice_centred,35,0.026236773731683975,0.026561740005274077
sine,250,50,100,1024,3,0,9,grid_lattice_centred,4,0.04027484299518409,0.045848938802409374
sine,250,50,100,1024,3,0,9,grid_lattice_centred,8,0.0335816692513295,0.03822163446749696
