input_data,train_len,test_len,inp_duration,N_samples,sample_len,reset_rate,nb_atoms,geometry,atom_distance,train_mae,test_mae
sine,250,50,50,1024,6,0,4,grid_lattice_centred,15,0.052881406018501026,0.054637380282528666
sine,250,50,50,1024,6,0,4,grid_lattice_centred,30,0.052933830038441945,0.05465946096083041
sine,250,50,50,1024,6,0,4,grid_lattice_centred,70,0.052933830038441945,0.05465946096083041
sine,250,50,100,1024,2,0,4,grid_lattice_centred,4,0.04195453087383186,0.043887544562095315
sine,250,50,100,1024,2,0,4,grid_lattice_centred,8,0.03476676218561104,0.04227937018936386
sine,250,50,100,1024,2,0,4,grid_lattice_centred,10,0.03213453288322012,0.03897663656365593
sine,250,50,100,1024,2,0,4,grid_lattice_centred,15,0.031063045745691967,0.03721750745696488
sine,250,50,100,1024,2,0,4,grid_lattice_centred,30,0.031063045745691967,0.03721750745696488
sine,250,50,100,1024,2,0,4,grid_lattice_centred,70,0.031063045745691967,0.03721750745696488
sine,250,50,100,1024,3,0,4,grid_lattice_centred,4,0.03849853356165487,0.040415145116319696
sine,250,50,100,1024,3,0,4,grid_lattice_centred,8,0.0357500712389271,0.03899173757094827
sine,250,50,100,1024,3,0,4,grid_lattice_centred,10,0.03338818117875952,0.03665069230726625
sine,250,50,100,1024,3,0,4,grid_lattice_centred,15,0.03305021008876806,0.036310351796728355
sine,250,50,100,1024,3,0,4,grid_lattice_centred,30,0.03305021008876806,0.036310351796728355
sine,250,50,100,1024,3,0,4,grid_lattice_centred,70,0.03305021008876806,0.036310351796728355
sine,250,50,100,1024,4,0,4,grid_lattice_centred,4,0.054557991904724795,0.057095080788145
sine,250,50,100,1024,4,0,4,grid_lattice_centred,8,0.04567653524886166,0.046786758516811806
sine,250,50,100,1024,4,0,4,grid_lattice_centred,10,0.05060652461853926,0.052752701678295336
sine,250,50,100,1024,4,0,4,grid_lattice_centred,15,0.04985258408715759,0.04805291793376881
sine,250,50,100,1024,4,0,4,grid_lattice_centred,30,0.049813311768545025,0.04841556648442112
sine,250,50,100,1024,4,0,4,grid_lattice_centred,70,0.049813311768545025,0.04841556648442112
sine,250,50,100,1024,5,0,4,grid_lattice_centred,4,0.05679753247846918,0.060145507757077235
sine,250,50,100,1024,5,0,4,grid_lattice_centred,8,0.05224705344436958,0.05184154435869305
sine,250,50,100,1024,5,0,4,grid_lattice_centred,10,0.050977674419541305,0.052447144597924024
sine,250,50,100,1024,5,0,4,grid_lattice_centred,15,0.05161258074661789,0.048392917188299925
sine,250,50,100,1024,5,0,4,grid_lattice_centred,30,0.05169610799995135,0.04837972836764139
sine,250,50,100,1024,5,0,4,grid_lattice_centred,70,0.05169610799995135,0.04837972836764139
sine,250,50,100,1024,6,0,4,grid_lattice_centred,4,0.060266795142668646,0.062386954240677854
sine,250,50,100,1024,6,0,4,grid_lattice_centred,8,0.05740202955558333,0.058577386589225795
sine,250,50,100,1024,6,0,4,grid_lattice_centred,10,0.05760201493043821,0.058250552441512185
sine,250,50,100,1024,6,0,4,grid_lattice_centred,15,0.05433878075107191,0.05845730418233964
sine,250,50,100,1024,6,0,4,grid_lattice_centred,30,0.05444020698984123,0.05859193623813213
sine,250,50,100,1024,6,0,4,grid_lattice_centred,70,0.05444020698984123,0.05859193623813213
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,4,0.10245908854210582,0.08181416827589068
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,8,0.02328298702898144,0.026819833751342437
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,10,0.024734765215355635,0.026382216913791914
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,15,0.023554416374289188,0.0240813700666003
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,30,0.023002754859760412,0.02484973420768052
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,70,0.02306588315565692,0.024906788625056603
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,4,0.18146006933133346,0.2476566373719287
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,8,0.12820811259407236,0.17766577971293393
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,10,0.05873889077077379,0.04494952844341712
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,15,0.027594177075358356,0.032106159482075756
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,30,0.031808985880173335,0.0313858292844156
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,70,0.0317299900110954,0.031279453079342816
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,4,0.1855785548813326,0.19214150220364068
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,8,0.1001819259386404,0.07942896342153005
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,10,0.07038144760782482,0.08521622537952499
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,15,0.06888419314460249,0.055230637086265515
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,30,0.08326230151255665,0.06253618228478854
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,70,0.08289820206051551,0.06506691789339179
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,4,0.2309603046718119,0.29993677880215236
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,8,0.05350031512037,0.06969694842695365
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,10,0.07262134648756012,0.07082418358479317
