input_data,train_len,test_len,neuron_number,sample_len,train_mae,test_mae
sine,400,30,5,2,0.2560514055654004,0.19443921753828144
sine,400,30,6,2,0.026302633345242417,0.014968103867606233
sine,400,30,7,2,0.023745942541776102,0.014713826047754862
sine,400,30,8,2,0.026718087024562097,0.01526256717198542
sine,400,30,9,2,0.04926073399172811,0.02825062281242963
sine,400,30,10,2,0.026302761234069216,0.014964233929476097
sine,400,30,11,2,0.004650991541807814,0.0037298215951099977
sine,400,30,12,2,0.008624097023043462,0.007704240610123779
sine,400,30,13,2,0.01394568485581704,0.005192825052476679
sine,400,30,14,2,0.02630119869240934,0.015065401513045569
sine,400,30,15,2,0.0035869570027465933,0.004111956639987321
sine,400,30,16,2,0.004472927216571159,0.0024431811440706794
sine,400,30,17,2,0.0026010857112073052,0.005038426873258596
sine,400,30,18,2,0.0004530208823050909,0.0015979443231801177
sine,400,30,19,2,0.002758940604481278,0.0030988003396420945
sine,400,30,20,2,0.004265548643071154,0.04286199289678235
sine,400,30,25,2,0.0010055099626282166,0.005070138393188554
sine,400,30,30,2,0.0005703264468218561,0.005037134722683622
sine,400,30,35,2,0.0003991605775407218,0.0019440790116991415
sine,400,30,40,2,0.0005407358918085864,0.0066617470340617655
sine,400,30,50,2,0.0002739059794098587,0.0026494020820595735
sine,400,30,60,2,0.0001461361036351976,0.0015262526856463603
sine,400,30,70,2,0.0007631651007048784,0.008199904577657756
sine,400,30,80,2,9.7233790299415e-05,0.0016566411598511897
sine,400,30,90,2,0.0001041930793192528,0.0018560084636571267
sine,400,30,100,2,0.00010370780974425665,0.0018878225834825482
sine,450,30,4,2,0.253602647032719,0.3068448961872267
sine,450,30,5,2,0.253602647032719,0.3068448961872267
sine,450,30,6,2,0.026121706741100408,0.020050422255881873
sine,450,30,7,2,0.023427111333062647,0.0195269554468401
sine,450,30,8,2,0.026534076613460928,0.020345951384587908
sine,450,30,9,2,0.04892077855443488,0.04270990710919284
sine,450,30,10,2,0.026121902314750447,0.02005645541264185
sine,450,30,11,2,0.005420482083774024,0.005445477998307553
sine,450,30,12,2,0.008590131862053672,0.008691443407173727
sine,450,30,13,2,0.013549323698613853,0.011634766242454124
sine,450,30,14,2,0.026118219629454164,0.01988912617199436
sine,450,30,15,2,0.004437914887695195,0.0036009040881428175
sine,450,30,16,2,0.005081651700243584,0.005588811562173509
sine,450,30,17,2,0.0034570945863269787,0.0009525333429584088
sine,450,30,18,2,0.001270790278574686,0.00031001968152913855
sine,450,30,19,2,0.0031213482823296552,0.004273608749567421
sine,450,30,20,2,0.02196498012352677,0.0033464902352413903
sine,450,30,25,2,0.003436675473502665,0.0011028114316444504
sine,450,30,30,2,0.0032152676740951586,0.0006123965739013428
