input_data,train_len,test_len,inp_duration,N_samples,sample_len,reset_rate,nb_atoms,geometry,atom_distance,train_mae,test_mae
sine,250,30,100,1024,3,0,9,grid_lattice_centred,8,0.020198343602228084,0.016915799797942926
sine,250,30,100,1024,3,0,9,grid_lattice_centred,11,0.017089761344509208,0.014328102729020313
sine,250,30,100,1024,3,0,9,grid_lattice_centred,13,0.01697238102318534,0.015228958473013705
sine,250,30,100,1024,3,0,9,grid_lattice_centred,15,0.017097163051059013,0.01419378568724421
sine,250,30,100,1024,3,0,9,grid_lattice_centred,14,0.016958004747269616,0.014379148583239179
sine,250,30,100,1024,3,0,9,grid_lattice_centred,20,0.017070232218608736,0.013846403154664896
sine,250,30,100,1024,3,0,9,grid_lattice_centred,35,0.017070232218608736,0.013846403154664896
sine,250,30,100,1024,6,0,9,grid_lattice_centred,4,0.0272809690990112,0.02211951420958855
sine,250,30,100,1024,6,0,9,grid_lattice_centred,8,0.023793551384970815,0.03529738875097719
sine,250,30,100,1024,6,0,9,grid_lattice_centred,11,0.021640189947485927,0.025011577104024938
sine,250,30,100,1024,6,0,9,grid_lattice_centred,13,0.021424248234014617,0.03385171801937594
sine,250,30,100,1024,6,0,9,grid_lattice_centred,15,0.02092659407559603,0.03837751908584672
sine,250,30,100,1024,6,0,9,grid_lattice_centred,14,0.021911318218146684,0.028690157745561804
sine,250,30,100,1024,6,0,9,grid_lattice_centred,20,0.022896960318159215,0.028797923681945326
sine,250,30,100,1024,6,0,9,grid_lattice_centred,35,0.022896960318159215,0.02686081151723056
sine,250,30,100,1024,8,0,9,grid_lattice_centred,4,0.02848741365706906,0.025493184474763498
sine,250,30,100,1024,8,0,9,grid_lattice_centred,8,0.02526868546700392,0.023766879507277575
sine,250,30,100,1024,8,0,9,grid_lattice_centred,11,0.017642033614893426,0.08071378918294522
sine,250,30,100,1024,8,0,9,grid_lattice_centred,13,0.01705629590628238,0.053936494266238054
