input_type,train_len,test_len,inp_duration,N_samples,sample_len,reset_rate,nb_atoms,geometry,atom_distance,train_mae,test_mae
sine,250,50,100,1024,3,0,9,grid_lattice_centred,15,0.030987613252216453,0.03413573187717729
sine,250,50,100,1024,3,0,9,grid_lattice_centred,35,0.030987613252216453,0.03413573187717729
sine,250,50,100,1024,6,0,9,grid_lattice_centred,4,0.05091975501281898,0.05823377852902501
sine,250,50,100,1024,6,0,9,grid_lattice_centred,8,0.04191193580015458,0.05286731945331376
sine,250,50,100,1024,6,0,9,grid_lattice_centred,15,0.041497949303190486,0.05503173479535414
sine,250,50,100,1024,6,0,9,grid_lattice_centred,35,0.04200971292043251,0.05358236900442808
sine,250,50,100,1024,8,0,9,grid_lattice_centred,4,0.046060857288878806,0.06637765939738126
sine,250,50,100,1024,8,0,9,grid_lattice_centred,8,0.04131420924043891,0.05275688329399799
sine,250,50,100,1024,8,0,9,grid_lattice_centred,15,0.03811401028974828,0.08398790507846128
sine,250,50,100,1024,8,0,9,grid_lattice_centred,35,0.03701761763344318,0.07916087596230824
sine,250,50,100,1024,9,0,9,grid_lattice_centred,4,0.04874679937347749,0.06289126173102594
sine,250,50,100,1024,9,0,9,grid_lattice_centred,8,0.0365337775692482,0.0520675552611739
sine,250,50,100,1024,9,0,9,grid_lattice_centred,15,0.02148539123294164,0.08825213692997688
sine,250,50,100,1024,9,0,9,grid_lattice_centred,35,0.02661221028704255,0.09029071937836318
sine,250,50,100,1024,10,0,9,grid_lattice_centred,4,0.05031604019498726,0.07156490078773955
sine,250,50,100,1024,10,0,9,grid_lattice_centred,8,0.035803293617892924,0.0645493900084213
sine,250,50,100,1024,10,0,9,grid_lattice_centred,15,0.01981505914211908,0.10137242823641454
sine,250,50,100,1024,10,0,9,grid_lattice_centred,35,0.0162431628952772,0.2777504033655148
sine,250,50,1000,1024,2,0,9,grid_lattice_centred,4,0.026925235731115785,0.03189393141720625
sine,280,20,1000,1024,2,0,9,grid_lattice_centred,8,0.010633733779376632,0.026567287389662794
sine,280,20,1000,1024,2,0,9,grid_lattice_centred,15,0.00021081564911286466,0.11347853680103552
sine,280,20,1000,1024,2,0,9,grid_lattice_centred,35,8.203812912818317e-05,0.09918684683814111
mackey,250,50,1000,1024,9,0,9,grid_lattice_centred,35,0.010006332031092104,0.6347197854744104
mackey,250,50,1000,1024,4,0,9,grid_lattice_centred,35,0.024607323419835053,0.1634041481391752
mackey,250,50,1000,1024,9,0,9,grid_lattice_centred,20,1.6520901751294472e-14,0.21353116950638643
sine,250,30,1000,1024,3,0,9,grid_lattice_centred,4,0.05043156309397101,0.09485626973850711
sine,250,30,1000,1024,3,0,9,grid_lattice_centred,8,0.022475576304203437,0.031291229705707475
sine,250,30,1000,1024,3,0,9,grid_lattice_centred,15,2.215554779284401e-05,0.025612359768308116
sine,250,30,1000,1024,3,0,9,grid_lattice_centred,35,0.002704177634440619,0.12093827203914803
sine,250,30,1000,1024,6,0,9,grid_lattice_centred,8,0.027029381702891955,0.04565892275500042
sine,250,30,1000,1024,6,0,9,grid_lattice_centred,15,1.4884041176240084e-14,0.010180565901439247
sine,250,30,1000,1024,6,0,9,grid_lattice_centred,35,0.001701516739647051,0.582554665784636
sine,250,30,1000,1024,8,0,9,grid_lattice_centred,8,0.025730315695871562,0.04045285965167018
sine,250,30,1000,1024,8,0,9,grid_lattice_centred,15,3.5090158510750686e-15,0.0066269557921762486
sine,250,30,1000,1024,8,0,9,grid_lattice_centred,35,0.011784338778123698,1.1924514951612268
sine,250,30,1000,1024,9,0,9,grid_lattice_centred,8,0.022114853188275427,0.03222328776343681
sine,250,30,1000,1024,9,0,9,grid_lattice_centred,15,4.658445137247195e-15,0.01490053533653229
sine,250,30,1000,1024,9,0,9,grid_lattice_centred,35,0.011058856817304966,1.8851006126580585
sine,250,30,1000,1024,10,0,9,grid_lattice_centred,8,0.02395514295262775,0.0358182606683272
sine,250,30,1000,1024,10,0,9,grid_lattice_centred,15,7.80741212421295e-15,0.012046938640443216
sine,250,30,1000,1024,10,0,9,grid_lattice_centred,35,0.062365857569632935,1.352530134464239
mackey,250,30,1000,1024,6,0,9,grid_lattice_centred,15,6.810922499941726e-15,0.025627555244301246
mackey,250,30,1000,1024,8,0,9,grid_lattice_centred,15,3.4217348880854255e-15,0.016877479463697796
mackey,250,30,1000,1024,10,0,9,grid_lattice_centred,15,3.647545228820566e-15,0.018028162854255025
