input_type,train_len,test_len,inp_duration,N_samples,sample_len,reset_rate,nb_atoms,geometry,atom_distance,train_mae,test_mae
sine,250,50,50,1024,4,0,4,grid_lattice_centred,4,"0,051270795646961","0,055189338093783"
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,15,"0,068884193144603","0,055230637086266"
sine,250,50,50,1024,6,0,4,grid_lattice_centred,10,"0,053119175355157","0,05579734161691"
sine,250,50,16,1024,5,0,4,grid_lattice_centred,4,"0,056508015160216","0,055898102537727"
sine,250,50,16,1024,5,0,4,grid_lattice_centred,8,"0,056508015160216","0,055898102537727"
sine,250,50,50,1024,6,0,4,grid_lattice_centred,4,"0,057693908670975","0,056036747644319"
sine,250,50,16,1024,5,0,4,grid_lattice_centred,10,"0,055988098153142","0,056116212107894"
sine,250,50,16,1024,5,0,4,grid_lattice_centred,15,"0,055988098153142","0,056116212107894"
sine,250,50,16,1024,5,0,4,grid_lattice_centred,30,"0,055988098153142","0,056116212107894"
sine,250,50,16,1024,5,0,4,grid_lattice_centred,70,"0,055988098153142","0,056116212107894"
sine,250,50,100,1024,4,0,4,grid_lattice_centred,4,"0,054557991904725","0,057095080788145"
sine,250,50,100,1024,6,0,4,grid_lattice_centred,10,"0,057602014930438","0,058250552441512"
sine,250,50,100,1024,6,0,4,grid_lattice_centred,15,"0,054338780751072","0,05845730418234"
sine,250,50,100,1024,6,0,4,grid_lattice_centred,8,"0,057402029555583","0,058577386589226"
sine,250,50,100,1024,6,0,4,grid_lattice_centred,30,"0,054440206989841","0,058591936238132"
sine,250,50,100,1024,6,0,4,grid_lattice_centred,70,"0,054440206989841","0,058591936238132"
sine,250,50,16,1024,3,0,4,grid_lattice_centred,4,"0,055465895315682","0,059797760785882"
sine,250,50,16,1024,3,0,4,grid_lattice_centred,8,"0,055465895315682","0,059797760785882"
sine,250,50,16,1024,3,0,4,grid_lattice_centred,10,"0,055465895315682","0,059797760785882"
sine,250,50,16,1024,3,0,4,grid_lattice_centred,15,"0,055465895315682","0,059797760785882"
sine,250,50,16,1024,3,0,4,grid_lattice_centred,30,"0,055465895315682","0,059797760785882"
sine,250,50,16,1024,3,0,4,grid_lattice_centred,70,"0,055465895315682","0,059797760785882"
sine,250,50,100,1024,5,0,4,grid_lattice_centred,4,"0,056797532478469","0,060145507757077"
sine,250,50,100,1024,6,0,4,grid_lattice_centred,4,"0,060266795142669","0,062386954240678"
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,30,"0,083262301512557","0,062536182284789"
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,70,"0,082898202060516","0,065066917893392"
sine,250,50,16,1024,6,0,4,grid_lattice_centred,8,"0,063911653782974","0,066547012148282"
sine,250,50,16,1024,6,0,4,grid_lattice_centred,10,"0,063911653782974","0,066547012148282"
sine,250,50,16,1024,6,0,4,grid_lattice_centred,15,"0,063911653782974","0,066547012148282"
sine,250,50,16,1024,6,0,4,grid_lattice_centred,30,"0,063911653782974","0,066547012148282"
sine,250,50,16,1024,6,0,4,grid_lattice_centred,70,"0,063911653782974","0,066547012148282"
sine,250,50,16,1024,6,0,4,grid_lattice_centred,4,"0,064583081626869","0,0668284248815"
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,8,"0,05350031512037","0,069696948426954"
sine,250,50,1000,1024,6,0,4,grid_lattice_centred,15,"0,079370925315657","0,069897471851915"
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,10,"0,07262134648756","0,070824183584793"
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,15,"0,069739135978805","0,076135901273154"
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,8,"0,10018192593864","0,07942896342153"
sine,250,50,1000,1024,2,0,4,grid_lattice_centred,4,"0,102459088542106","0,081814168275891"
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,10,"0,070381447607825","0,085216225379525"
sine,250,50,1000,1024,6,0,4,grid_lattice_centred,8,"0,100468129694879","0,087686728263652"
sine,250,50,16,1024,2,0,4,grid_lattice_centred,4,"0,108188825364099","0,101625993609857"
sine,250,50,16,1024,2,0,4,grid_lattice_centred,8,"0,108188825364099","0,101625993609857"
sine,250,50,16,1024,2,0,4,grid_lattice_centred,10,"0,108188825364099","0,101625993609857"
sine,250,50,16,1024,2,0,4,grid_lattice_centred,15,"0,108188825364099","0,101625993609857"
sine,250,50,16,1024,2,0,4,grid_lattice_centred,30,"0,108188825364099","0,101625993609857"
sine,250,50,16,1024,2,0,4,grid_lattice_centred,70,"0,108188825364099","0,101625993609857"
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,8,"0,128208112594072","0,177665779712934"
sine,250,50,1000,1024,6,0,4,grid_lattice_centred,30,"0,142679435465896","0,181267314099484"
sine,250,50,1000,1024,6,0,4,grid_lattice_centred,70,"0,138344612960747","0,184133032582444"
sine,250,50,1000,1024,4,0,4,grid_lattice_centred,4,"0,185578554881333","0,192141502203641"
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,70,"0,173867319870143","0,242062358958544"
sine,250,50,1000,1024,3,0,4,grid_lattice_centred,4,"0,181460069331333","0,247656637371929"
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,30,"0,180158287387766","0,249332863248991"
sine,250,50,1000,1024,6,0,4,grid_lattice_centred,4,"0,234197066354379","0,280640216310287"
sine,250,50,1000,1024,5,0,4,grid_lattice_centred,4,"0,230960304671812","0,299936778802152"
